forecast_id,turbine_id,origin_time,target_start,target_end,prediction_norm,q10,q50,q90,weather_run_id,model_version,mode,provenance,prediction_unit
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T01:00:00Z,2026-02-01T02:00:00Z,0.728,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T02:00:00Z,2026-02-01T03:00:00Z,0.767,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T03:00:00Z,2026-02-01T04:00:00Z,0.788,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T04:00:00Z,2026-02-01T05:00:00Z,0.788,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T05:00:00Z,2026-02-01T06:00:00Z,0.769,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,0.734,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T07:00:00Z,2026-02-01T08:00:00Z,0.693,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T08:00:00Z,2026-02-01T09:00:00Z,0.652,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T09:00:00Z,2026-02-01T10:00:00Z,0.618,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T10:00:00Z,2026-02-01T11:00:00Z,0.596,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T11:00:00Z,2026-02-01T12:00:00Z,0.587,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T12:00:00Z,2026-02-01T13:00:00Z,0.585,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T13:00:00Z,2026-02-01T14:00:00Z,0.587,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T14:00:00Z,2026-02-01T15:00:00Z,0.584,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T15:00:00Z,2026-02-01T16:00:00Z,0.571,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T16:00:00Z,2026-02-01T17:00:00Z,0.544,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T17:00:00Z,2026-02-01T18:00:00Z,0.502,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T18:00:00Z,2026-02-01T19:00:00Z,0.451,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T19:00:00Z,2026-02-01T20:00:00Z,0.396,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0201-r1,turbine_1,2026-02-01T00:00:00Z,2026-02-01T20:00:00Z,2026-02-01T21:00:00Z,0.346,,,,DEMO-WX-0201-1,fixture-curve-v1,fixture,synthetic,normalized_power
