forecast_id,turbine_id,origin_time,target_start,target_end,prediction_norm,q10,q50,q90,weather_run_id,model_version,mode,provenance,prediction_unit
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T07:00:00Z,2026-07-15T08:00:00Z,0.728,0.623,0.728,0.848,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T08:00:00Z,2026-07-15T09:00:00Z,0.687,0.582,0.687,0.807,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T09:00:00Z,2026-07-15T10:00:00Z,0.653,0.548,0.653,0.773,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T10:00:00Z,2026-07-15T11:00:00Z,0.631,0.526,0.631,0.751,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T11:00:00Z,2026-07-15T12:00:00Z,0.622,0.517,0.622,0.742,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T12:00:00Z,2026-07-15T13:00:00Z,0.62,0.515,0.62,0.74,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T13:00:00Z,2026-07-15T14:00:00Z,0.622,0.517,0.622,0.742,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T14:00:00Z,2026-07-15T15:00:00Z,0.619,0.514,0.619,0.739,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T15:00:00Z,2026-07-15T16:00:00Z,0.606,0.501,0.606,0.726,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0715-r2,turbine_1,2026-07-15T06:00:00Z,2026-07-15T16:00:00Z,2026-07-15T17:00:00Z,0.579,0.474,0.579,0.699,DEMO-WX-0715-2,fixture-curve-v1,fixture,synthetic,normalized_power
