forecast_id,turbine_id,origin_time,target_start,target_end,prediction_norm,q10,q50,q90,weather_run_id,model_version,mode,provenance,prediction_unit
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T01:00:00Z,2026-01-15T02:00:00Z,0.728,0.623,0.728,0.848,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T02:00:00Z,2026-01-15T03:00:00Z,0.767,0.662,0.767,0.887,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T03:00:00Z,2026-01-15T04:00:00Z,0.788,0.683,0.788,0.908,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T04:00:00Z,2026-01-15T05:00:00Z,0.788,0.683,0.788,0.908,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T05:00:00Z,2026-01-15T06:00:00Z,0.769,0.664,0.769,0.889,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T06:00:00Z,2026-01-15T07:00:00Z,0.734,0.629,0.734,0.854,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T07:00:00Z,2026-01-15T08:00:00Z,0.693,0.588,0.693,0.813,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T08:00:00Z,2026-01-15T09:00:00Z,0.652,0.547,0.652,0.772,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T09:00:00Z,2026-01-15T10:00:00Z,0.618,0.513,0.618,0.738,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
demo-0115-r1,turbine_1,2026-01-15T00:00:00Z,2026-01-15T10:00:00Z,2026-01-15T11:00:00Z,0.596,0.491,0.596,0.716,DEMO-WX-0115-1,fixture-curve-v1,fixture,synthetic,normalized_power
